"cvegeo","frec"
"0901000010629015",1
"0901400010702023",1
"0900700014912008",1
"0900700011443018",1
"0900900110416003",1
"0901200011513021",3
"0901400010416002",1
"0900700015516053",2
"0900700010483020",1
"0901200010178008",1
"0901700011331016",1
"0901700010653007",1
"0901200010958005",1
"0900600010753003",1
"0900500011970001",2
"0900300010037015",1
"0900700011053019",1
"0900700011246002",1
"0900700012920024",1
"0900700012615014",1
"090050001092A018",1
"0901400010238015",1
"0900200010966002",1
"0900500012220009",1
"0900200010557008",1
"0900500011260016",1
"090050001167A014",1
"0901600010694001",1
"0901100211003079",1
"090050001128A002",2
"0900500010633008",1
"0900700012831009",2
"0901200011617011",1
"0901700010437007",1
"0900700011513005",1
"0900800010103005",1
"0901200012263017",1
"0901500011267013",1
"0901400010789002",1
"090050001167A031",2
"090060001001A012",1
"0901500011125016",1
"0900800010546020",2
"090170001030A026",1
"0901400010971009",1
"0901000012061001",1
"090050001288A020",1
"0901000012343009",1
"0900800010048004",1
"0901100010645005",1
"0901200010233018",1
"0900700011301013",1
"0900200010788011",1
"0900700011509027",1
"0900300010770001",2
"0901300010353012",1
"0900700011693040",1
"0901700010259001",1
"0901400011005012",1
"0901500010396006",1
"0900500010953019",1
"0900700015554009",2
"0900500011186006",1
"0901600010641011",1
"0901500011534016",1
"0901100011075019",1
"0900700010017016",2
"0900700013651010",1
"0900500011909022",1
"0900700010708003",1
"0901200012263003",1
"090100001135A019",2
"0900500010258029",1
"090160001132A002",2
"0900700010055010",1
"0901500010019007",1
"0900500010050003",2
"0901700010121025",1
"090120001216A035",1
"0900700015126019",1
"0901200010765006",1
"0900700015709010",1
"0901500011248009",1
"0900800010495007",1
"0901300010387020",1
"0900700012901039",2
"0900700012634001",1
"0901600010798059",1
"0900500013318016",1
"0900500012038001",1
"0900700012386015",1
"0900200010839020",1
"0900800010090017",1
"0900400200246041",1
"0900500010760018",1
"0900300010658007",1
"0900700010214010",1
"0900200010415001",1
"0901000011716014",2
"0900500010050011",1
"0900500011932002",1
"0901700011308023",2
"090160001118A010",1
"0901100010147014",1
"0900300011139001",1
"0900200010133005",1
"0901100010999023",1
"0900200010330001",4
"0901500010697010",1
"0901200010892007",1
"0900700012174005",1
"0900500012771004",1
"0900200011057031",1
"0900200010650013",1
"0901200261528020",1
"0900600010433004",1
"0901500010606006",1
"0900700012494009",1
"0900700013295035",1
"0900500011913020",2
"0900500013430025",1
"0901000011858001",1
"0900400010123023",2
"090030001015A023",1
"0901200010619022",1
"0901700010263004",1
"0900700014043021",2
"0901301370902001",1
"0901100011431004",1
"0901400010628020",1
"0900300010179023",1
"0901200010642018",1
"0901500011106012",1
"0900300010817023",1
"0900500012447032",1
"0901600010389008",1
"0901600011029002",1
"090070001038A029",1
"0900700011693009",1
"0900500010173013",1
"0900500010737004",1
"0901600010162013",1
"0901000011171009",1
"0901700010884006",1
"0900700011265050",1
"0900200010434002",1
"0901300010334009",2
"0900500011311006",1
"0901400010717030",1
"0900700011621001",1
"0901700011079019",2
"090110001001A013",1
"0901600011315018",1
"0901400010793003",1
"0900700015709011",1
"0900700013100018",2
"0900600010221019",2
"0901200011424002",1
"0900800010283021",1
"0900700010021004",1
"0901100010128002",1
"0900600010503023",2
"0900500013125021",1
"0900500010050013",1
"0901500010470012",1
"0900700013276005",2
"0901000010614021",1
"0901600010995010",1
"090160001118A003",1
"0900800010565009",3
"0901700011295023",1
"0900700010093004",1
"0900500012822009",1
"0900700010214011",1
"090030001175A010",1
"0900700012155022",2
"090170001023A012",2
"0900500010050010",1
"0900700012795035",1
"0900700013986031",1
"0900300010728067",2
"0900600010895002",1
"0900700012174006",1
"0901600010783013",1
"0901500010697011",1
"0900500012451044",1
"0901100010359001",1
"0900600010221007",1
"0900300011425010",1
"0901300011402014",1
"090100001053A011",1
"0901200012070031",1
"0900700010888025",1
"0900500012146023",1
"0901000010417041",3
"0900700011015002",1
"090030001150A002",1
"0900700013596009",1
"0900700011710009",2
"0900600010556008",1
"0900700011848013",1
"0900300011317018",1
"0900700013651003",1
"0901700011100011",1
"090150001024A003",1
"0900300011567029",1
"0900500012396004",1
"0900500010173010",1
"0901000011487005",1
"090100001060A012",2
"0900500010953001",1
"0901700011064011",2
"0900600010522014",1
"0900400010373031",1
"0900600010378011",1
"0900700013365011",1
"0900500010402008",2
"0900200010415003",2
"0900500012593016",1
"0900400010369013",1
"0901600010548026",1
"0900300011529007",2
"0900300011124012",1
"0900700012920002",1
"0900700013346067",1
"0901100010452026",2
"0900700012047008",1
"090140001051A021",1
"0900800010495010",1
"0900700013774002",1
"0900700010055017",1
"0900700014039024",1
"0900200010114003",1
"0901000011190008",1
"0901100011427020",1
"0901400010810001",1
"0900300010588024",1
"0900200010985015",1
"0901200010784012",1
"0900700015179030",2
"0900300010802025",1
"0900700010036004",1
"0901700010460021",1
"0901200011439015",2
"0901700011100019",1
"0901100011484019",2
"0900200010010011",1
"0900200010881023",1
"0900200010701020",1
"0900300010018023",1
"0900700011053053",1
"0900500010328002",1
"0901000011913034",1
"090030001061A018",1
"0900500010173001",2
"0900700010905002",1
"0900300010234003",1
"0901200010888014",1
"090070001515A003",1
"090070001198A007",1
"090050001288A023",1
"0901400010257015",1
"0901400010685010",1
"090110001001A001",1
"0900700011301007",1
"0900700011655004",1
"0901500011182008",1
"0901200010303022",1
"0900901520628015",1
"0900700011867033",1
"0900700012634003",1
"0900900110435008",1
"0901400010257018",1
"0900500012930053",1
"0901000011523021",1
"090120001084A014",1
"090050001103A004",1
"0901200010939006",1
"0901400010558001",1
"0900200010843013",1
"0900500012377014",2
"090050001060A013",1
"0900500012042013",1
"0900500011171014",1
"090160001118A007",1
"090130001121A012",1
"0901000010474001",1
"0901700010884019",1
"0901200012136021",1
"0901000012019027",1
"0901000010332006",1
"090100001135A005",1
"0901200011104008",1
"0901300011332028",1
"0900300010662032",1
"0900400010369088",2
"0900600011130003",1
"0900700014880001",1
"0901000010169007",2
"0900600010791001",1
"0900800010086011",3
"0900300010291023",1
"0900800010052016",1
"0900300010997023",1
"0901100010058015",1
"090100001060A015",1
"0901000011345042",1
"0900700015569003",1
"0900300011675030",1
"0901400010098009",1
"0901000011330001",1
"0900300010501030",1
"0901200011424015",1
"0900500011557001",1
"0900700010572025",1
"0900700014310013",1
"0901000010845013",1
"0900700010939003",2
"0901500011233018",1
"0901500011341016",1
"0901000011913035",1
"0900300010501026",1
"0901400010045001",1
"0901000010811004",1
"0900700011778025",1
"0900300010658021",1
"0901300010688006",1
"0900300011302005",1
"0900700014096015",1
"0901200012278026",1
"0901500011426011",1
"0901000010898022",2
"0901700010545005",1
"0900300011139006",1
"090170001062A010",1
"0900300010573005",1
"0901500010235005",1
"0900700012579004",1
"0900400010227048",1
"0901600010124014",2
"0900700010892005",1
"0900700012526006",1
"0901400010469038",1
"090090029044A012",1
"0901500011318016",1
"0900700013863017",1
"090120001045A009",1
"0900500012023013",1
"0900200010504015",2
"0900500013178013",1
"0901500011267006",2
"0900700010977002",1
"0901000010845010",1
"0901200010939003",1
"0901500011214007",1
"0900600010607014",1
"0901400010721015",1
"090140001005A001",1
"0900200010631026",2
"090050001078A023",1
"0900200010595015",1
"0900700015272010",1
"0900200010379009",1
"0900700012935030",1
"0900700012494020",1
"0900700011015015",2
"0900700015198022",1
"0901100010151022",2
"0901500010979011",1
"0901700010884007",1
"0900500013163023",1
"0901200010676003",1
"0900700011941031",1
"0901400010628009",1
"0901500011002004",1
"0900500012004014",1
"0900700013153005",1
"0901500010339006",1
"0901200010657032",2
"0900700013577023",1
"0900500011434013",1
"0900300011162008",2
"0900500011881010",1
"0900700015075012",1
"0901600010069030",1
"090070001134A002",1
"0901600010730015",1
"0900400010072021",1
"090170001087A008",1
"0900200011019019",1
